,Date,Dollars per Million Btu
720,1999 10 11 Mon,2.53
721,1999 10 12 Tue,2.65
722,1999 10 13 Wed,2.81
723,1999 10 14 Thu,2.7
724,1999 10 15 Fri,2.66
725,1999 10 18 Mon,2.82
726,1999 10 19 Tue,2.89
727,1999 10 20 Wed,2.9
728,1999 10 21 Thu,2.99
729,1999 10 22 Fri,3.0
730,1999 10 25 Mon,2.98
731,1999 10 26 Tue,2.96
732,1999 10 27 Wed,3.02
733,1999 10 28 Thu,2.97
734,1999 10 29 Fri,2.76
735,1999 11 01 Mon,2.73
736,1999 11 02 Tue,2.81
737,1999 11 03 Wed,2.82
738,1999 11 04 Thu,2.75
739,1999 11 05 Fri,2.62
740,1999 11 08 Mon,2.59
741,1999 11 09 Tue,2.44
742,1999 11 10 Wed,2.39
743,1999 11 11 Thu,2.38
744,1999 11 12 Fri,2.16
745,1999 11 15 Mon,2.33
746,1999 11 16 Tue,2.23
747,1999 11 17 Wed,2.24
748,1999 11 18 Thu,2.22
749,1999 11 19 Fri,2.16
750,1999 11 22 Mon,2.05
751,1999 11 23 Tue,1.99
752,1999 11 24 Wed,1.96
753,1999 11 25 Thu,
754,1999 11 26 Fri,
755,1999 11 29 Mon,2.25
756,1999 11 30 Tue,2.22
757,1999 12 01 Wed,2.17
758,1999 12 02 Thu,2.18
759,1999 12 03 Fri,2.16
760,1999 12 06 Mon,2.19
761,1999 12 07 Tue,2.16
762,1999 12 08 Wed,2.23
763,1999 12 09 Thu,2.2
764,1999 12 10 Fri,2.27
765,1999 12 13 Mon,2.35
766,1999 12 14 Tue,2.49
767,1999 12 15 Wed,2.54
768,1999 12 16 Thu,2.52
769,1999 12 17 Fri,2.55
770,1999 12 20 Mon,2.67
771,1999 12 21 Tue,2.59
772,1999 12 22 Wed,2.45
773,1999 12 23 Thu,2.42
774,1999 12 24 Fri,
775,1999 12 27 Mon,2.36
776,1999 12 28 Tue,2.32
777,1999 12 29 Wed,2.34
778,1999 12 30 Thu,2.3
779,1999 12 31 Fri,
780,2000 01 03 Mon,
781,2000 01 04 Tue,2.16
782,2000 01 05 Wed,2.17
783,2000 01 06 Thu,2.18
784,2000 01 07 Fri,2.19
785,2000 01 10 Mon,2.2
786,2000 01 11 Tue,2.23
787,2000 01 12 Wed,2.25
788,2000 01 13 Thu,2.29
789,2000 01 14 Fri,2.28
790,2000 01 17 Mon,
791,2000 01 18 Tue,2.35
792,2000 01 19 Wed,2.4
793,2000 01 20 Thu,2.53
794,2000 01 21 Fri,2.55
795,2000 01 24 Mon,2.55
796,2000 01 25 Tue,2.66
797,2000 01 26 Wed,2.73
798,2000 01 27 Thu,2.76
799,2000 01 28 Fri,2.84
800,2000 01 31 Mon,2.69
801,2000 02 01 Tue,2.81
802,2000 02 02 Wed,2.91
803,2000 02 03 Thu,2.85
804,2000 02 04 Fri,2.78
805,2000 02 07 Mon,2.81
806,2000 02 08 Tue,2.6
807,2000 02 09 Wed,2.62
808,2000 02 10 Thu,2.65
809,2000 02 11 Fri,2.65
810,2000 02 14 Mon,2.61
811,2000 02 15 Tue,2.61
812,2000 02 16 Wed,2.65
813,2000 02 17 Thu,2.66
814,2000 02 18 Fri,2.65
815,2000 02 21 Mon,
816,2000 02 22 Tue,2.55
817,2000 02 23 Wed,2.5
818,2000 02 24 Thu,2.52
819,2000 02 25 Fri,2.51
820,2000 02 28 Mon,2.6
821,2000 02 29 Tue,2.65
822,2000 03 01 Wed,2.71
823,2000 03 02 Thu,2.8
